Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:57gDEMoCaO1aqsFoJqOlpH,"Hours - Lord Echo Remix","Hours (Lord Echo Remix)","Julien Dyne;Ladi6;Lord Echo",2022-11-23,237966,35,false,soundwayrecs,2022-11-25T03:25:09Z,"nz reggae,indiesoul","Soundway Records Ltd",0.83,0.513,0,-10.038,1,0.0385,0.072,0.0000035,0.162,0.779,117.982,4
spotify:track:6LYG0ZBlWpbUUcL2COK6xi,"Doin' It","Doin' It","The Lahaar",2023-02-15,576462,5,false,soundwayrecs,2023-02-16T02:58:48Z,"","Soundway Records Ltd",0.745,0.92,7,-7.948,1,0.0502,0.219,0.754,0.122,0.839,117.305,4
spotify:track:7EiArkd4Z1GGIagtMqt9T5,"This Is No Horse","Take Me Dancing","AJL Band",2017-08-04,269885,4,false,soundwayrecs,2023-02-02T01:26:19Z,"post-disco","FXHE Records",0.625,0.317,0,-14.772,1,0.0569,0.0648,0.234,0.0666,0.903,173.774,4
spotify:track:2GevZClGt2czuaKCbNGrAs,"Annebooy - Radio Edit","Annebooy (Radio Edit)","Linda Ayupuka",2022-05-25,232000,0,false,soundwayrecs,2023-01-18T23:42:08Z,"","Mais Um Discos",0.704,0.566,1,-12.075,1,0.144,0.166,0.534,0.0505,0.968,169.895,4
spotify:track:0wObUwDJeCiZGLkoEaaaK4,"They Heap Insults On Sango","Sango Ba Ba Wa","Ella Andall",2004-01-01,120986,10,false,soundwayrecs,2023-03-08T22:47:43Z,"soca,calypso","Ella Andall",0.688,0.721,7,-7.385,1,0.269,0.701,0,0.17,0.939,103.067,4
spotify:track:2YFZ6IaFywtwTVFSBbaIdz,"Tabom Riddim","Tabom Riddim","Juls;VHOOR",2022-12-01,160391,23,false,soundwayrecs,2022-12-05T21:04:32Z,"alté,afrobeats,afroswing,afrobeat,afropop,afro r&b,afrosoul,azonto,miami bass","BEEEESIDE",0.772,0.657,7,-6.287,0,0.0759,0.00276,0.883,0.0513,0.278,98.016,4
spotify:track:59y8x96BvEjOkAXpbAfnsV,"Isabel","Pure Donzin","Don Melody Club",2021-04-30,234920,31,false,soundwayrecs,2022-11-28T23:15:12Z,"","Bongo Joe",0.737,0.293,5,-16.347,0,0.0851,0.55,0.603,0.0744,0.758,179.993,4
spotify:track:2okstGLw3iXP6h6wR8nark,"Things Are Not What They Seem","America Dream Reserve (Compiled by Charles Bals and Smiling C)","FX",2022-10-14,178000,6,false,soundwayrecs,2022-12-08T20:22:53Z,"","Smiling C",0.623,0.839,11,-8.275,0,0.0341,0.178,0.514,0.124,0.774,112.306,4
spotify:track:0rWccm1lnwmdJHmBTiN4ks,"Sarura Wako","Harare","Andy Brown & The Storm",2000-01-01,267865,2,false,soundwayrecs,2022-11-16T02:46:35Z,"","Universal Music (Pty) Ltd.",0.536,0.709,4,-7.165,0,0.0674,0.77,0.0271,0.136,0.263,80.802,4
spotify:track:4dq0fVmQjKTs1aWUqexFZQ,"Tepui Tepui","Padang Moonrise: The Birth of the Modern Indonesian Recording Industry (1955-69)","Orkes Suita Rama",2022-11-25,187999,10,false,soundwayrecs,2022-11-25T10:22:21Z,"","Soundway Records Ltd",0.731,0.58,2,-10.229,0,0.0286,0.189,0.00000471,0.0494,0.969,117.872,4
spotify:track:6YuVe70LoTVHEL3ckSCeJw,"Kaossen","Garama","Doubling Riders",2015-08-17,373266,0,false,soundwayrecs,2022-01-25T23:53:55Z,"minimalisme","TIME RELEASED SOUND",0.286,0.459,1,-15.763,1,0.041,0.848,0.828,0.188,0.748,123.968,3
spotify:track:0nDTmBvRSU9fnzLzltefeo,"Black Gold","Black Gold","Charles Stepney",2022-09-06,176546,0,false,soundwayrecs,2022-09-07T03:00:51Z,"","International Anthem",0.447,0.367,8,-14.086,1,0.0452,0.805,0.892,0.111,0.71,184.648,3
spotify:track:4JUoXOmnyvPLfGk6LWbawv,"Ei Dvipa","Salos","merope;Bert Cools;Indrė Jurgelevičiūtė;Jean-Christophe Bonnafous;Jauna Muzika Choir;Shahzad Ismaily",2021-02-24,254346,18,false,soundwayrecs,2021-09-18T02:33:04Z,"experimentele jazz,neo-folk,hedendaags klassiek,koormuziek,indie jazz,ambient jazz","granvat",0.29,0.183,9,-17.288,0,0.0327,0.978,0.897,0.321,0.0561,123.816,3
spotify:track:0rutfHyYDET10JApRbACBW,"Yadadé","Moundjahka - Fwa épi Sajès","Rico Toto",2007-03-27,337706,1,false,soundwayrecs,2022-11-04T20:53:26Z,"","MOJAKA",0.726,0.501,1,-9.891,1,0.206,0.0381,0.0898,0.099,0.801,194.365,4
