TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
2.321995465,0.116924,0.221571,1.16169,0.349375,0.431185,0.484367,1.55201,0.262539,0.810258,0.380506,0.582351,1.49269
2.368435374,0.109174,0.442384,0.68279,0.19267,0.0303642,0.84562,1.80152,0.906149,0.753601,0.447564,0.815935,1.12258
2.414875283,0.243482,0.626764,0.563846,0.304867,0.035162,0.688658,1.84592,1.34157,0.37234,0.641866,0.921659,0.757108
2.461315193,0.371577,1.18273,0.391725,0.63176,0.0416205,0.43954,1.55571,1.29051,0.0657771,0.511961,0.999557,0.496276
2.507755102,0.74115,1.27614,0.469903,0.814713,0.207332,0.43787,1.36098,1.30407,0.105897,0.181086,0.761997,0.279195
2.554195011,0.793331,1.08106,0.898013,0.823905,0.176881,0.761703,0.357202,0.897166,0.352014,0.314464,0.645687,0.56461
2.600634921,1.01,0.638313,1.14507,0.21221,0.104402,0.249682,1.03055,0.150329,0.587642,0.454554,0.677565,0.938823
2.647074830,0.765539,0.463182,0.896263,0.216039,0.248417,0.0234103,1.60444,0.286552,0.609282,0.198555,0.506748,0.587277
2.693514739,0.573516,0.67928,0.774262,0.321607,0.41333,0.757955,1.60586,0.644137,0.443497,0.194042,0.241881,0.0545364
2.739954649,0.607792,0.900651,0.793746,0.404217,0.214082,0.585877,1.53127,1.07794,0.228792,0.167656,0.295212,0.0981481
2.786394558,0.716997,1.227,0.546176,0.458386,0.132038,0.336886,1.46793,1.27723,0.209433,0.117023,0.526205,0.132785
2.832834467,0.760543,1.11499,0.58855,0.301317,0.163324,0.48348,0.850775,1.28508,0.444118,0.120795,0.755921,0.324947
2.879274376,0.403723,0.952637,1.09601,0.511581,0.295062,0.703279,0.130227,0.572546,0.934035,0.24538,0.684963,0.936894
2.925714286,0.314158,0.277713,1.46134,0.790537,0.00981572,1.05443,0.386713,0.679927,0.373957,0.497379,0.728448,0.724387
2.972154195,0.381904,0.185863,1.246,0.445944,0.664311,1.79669,0.756641,0.749444,0.0846473,0.626572,0.10762,0.381591
3.018594104,0.517743,0.136332,1.04235,0.462159,0.680441,1.87451,0.556754,0.634387,0.135125,0.593846,0.105852,0.679016
