TIME,1.00937,1.00937,1.00937,1.09348,1.09348,1.09348,1.1776,1.1776,1.1776,1.26171,1.26171,1.26171,1.34583,1.34583,1.34583,1.42994,1.42994,1.51405,1.51405,1.51405,1.59817,1.59817,1.68228,1.68228,1.7664,1.7664,1.85051,1.85051,1.93462,1.93462
0.000000000,168.926,144.923,215.933,253.213,397.522,285.905,276.401,567.904,393.588,280.732,403.07,523.49,576.263,288.281,199.371,173.799,203.103,259.171,82.5602,250.049,367.025,413.832,263.441,158.889,51.2402,325.617,260.153,408.374,394.417,277.493
1.486077098,149.807,123.542,234.619,287.944,509.55,383.889,362.994,861.052,452.142,391.21,675.169,691.013,809.192,401.751,325.676,295.292,251.565,413.951,209.484,437.795,662.481,549.168,397.124,210.161,33.3296,456.206,370.449,543.618,661.592,461.901
2.972154195,124.554,101.688,244.214,311.81,598.237,494.496,451.386,1170.59,524.669,603.447,1086.18,848.949,1047.79,573.18,508.864,457.855,282.598,594.71,413.119,677.536,1034.81,679.726,571.308,267.269,64.254,603.187,503.235,693.183,999.187,696.182
4.458231293,117.213,111.509,241.748,344.327,652.099,635.125,531.422,1370.51,640.943,912.561,1600.71,1066.4,1280.56,771.399,760.435,618.09,292.504,779.862,685.16,914.893,1339.51,790.4,772.813,330.658,191.584,733.813,640.216,858.098,1338.36,909.684
5.944308390,133.064,162.56,226.891,394.596,688.991,797.41,605.01,1383.41,810.814,1226.98,2102.4,1389.91,1510.24,942.845,1063.05,742.401,292.935,968.571,972.404,1073.44,1462.9,879.652,994.421,407.371,437.902,800.256,768.975,1001.89,1600.82,1037.64
7.430385488,153.38,251.938,215.12,481.251,708.099,943.661,677.87,1217.73,991.724,1396.86,2477.69,1787.64,1719.46,1027.09,1357.78,833.649,313.791,1112.19,1218.62,1122.25,1400.82,978.022,1179.45,476.283,765.419,793.389,899.65,1085.78,1747.77,1031.88
8.916462585,158.79,337.76,203.185,579.807,697.006,1009.68,723.687,1021.31,1097.28,1316.3,2670.54,2203.54,1907.59,965.581,1612.22,874.008,346.586,1184.12,1391.11,1066.57,1216.33,1097.1,1275.17,540.793,1085.05,707.925,982.547,1074.51,1834.98,919.516
10.402539683,152.29,376.041,199.813,661.761,646.926,976.87,758.481,895.155,1141.56,1071.67,2736.04,2603.35,2097.45,806.84,1787.98,868.548,381.641,1207.56,1469.95,977.516,981.338,1218.01,1274.48,610.852,1292.13,579.67,971.558,967.433,1892.91,800.089
11.888616780,166.594,362.072,221.384,709.646,558.803,877.047,812.076,869.702,1197.5,871.7,2783.8,2958.79,2332.79,668.216,1849.57,843.672,421.691,1206.49,1449.86,952.015,765.381,1303.68,1205,691.845,1319.66,466.523,863.893,817.605,1906.78,763.993
13.374693878,253.793,338.676,272.582,715.495,451.895,763.979,888.923,927.228,1333.35,904.366,2869.33,3229.93,2633.67,661.206,1798.54,819.132,474.393,1180.67,1345.35,1038.16,620.931,1336.86,1100.71,762.708,1176.89,402.413,694.4,680.116,1862.64,840.978
14.860770975,431.614,353.609,346.025,679.965,363.384,678.98,983.008,1004.63,1554.18,1178.49,2973.52,3368.85,2931.73,828.995,1648.31,807.687,545.755,1106.2,1182.68,1189.65,564.511,1322.13,980.56,786.688,946.086,388.312,517.744,591.397,1746.06,997.724
16.346848073,656.213,405.744,422.056,613.607,320.159,628.806,1050.34,1027.08,1779.08,1517.29,3012.76,3335.73,3074.47,1117.62,1436.8,806.713,637.609,948.232,991.829,1287.34,579.806,1267.65,850.674,751.689,722.805,396.592,377.484,561.04,1543.01,1165.83
17.832925170,840.851,467.91,470.546,522.142,312.722,597.342,1033.64,970.546,1879.18,1704.57,2863.51,3103.96,2957.67,1383.16,1206.96,786.415,718.846,727.135,801.285,1242.62,607.324,1178.74,698.616,644.877,560.889,384.13,283.23,555.596,1273.01,1244.33
19.319002268,894.344,516.357,451.636,421.52,310.51,562.153,935.952,836.491,1777.49,1631.85,2413.83,2704.73,2586.99,1444.89,952.85,742.353,763.899,482.904,611.05,1031.42,586.53,1034.15,522.996,477.356,460.72,344.206,215.765,532.908,942.678,1169.5
20.805079365,804.565,533.708,388.682,342.486,249.477,525.603,828.97,659.792,1463.45,1309.74,1669.26,2192.38,2054.18,1240.03,699.247,669.325,722.145,266.812,422.547,716.168,487.557,809.754,367.738,312.662,385.402,286.272,150.43,465.112,617.609,954.974
22.291156463,649.198,544.63,354.728,315.374,153.748,545.924,773.905,459.72,1068.16,952.094,844.406,1661.69,1509.16,908.056,424.386,611.771,615.032,102.494,315.21,424.519,335.741,600.886,291.603,252.29,342.146,255.129,111.724,367.174,349.166,647.467
23.777233560,497.714,655.074,468.282,366.333,137.15,700.972,831.839,380.672,731.739,714.457,307.916,1298.31,1190.64,665.993,197.469,673.155,492.098,108.714,374.143,265.973,209.579,559.386,347.638,382.669,400.999,328.435,155.028,292.799,229.646,395.754
25.263310658,516.239,1148.06,1010.84,554.239,248.518,972.077,1068.96,557.876,632.251,740.219,354.9,1286.39,1231.13,625.774,118.848,951.179,445.477,445.045,748.476,429.085,280.634,731.175,569.37,732.31,632.412,618.267,307.434,338.209,273.582,316.525
26.749387755,943.852,2571.03,2258.23,952.819,546.207,1322.41,1441.7,1037.39,900.066,1029.36,985.616,1848.93,1626.12,774.176,188.128,1567.47,509.728,1145.1,1637.44,1197.45,692.796,1110.19,961.259,1183.9,1069.02,1198.94,592.714,499.833,477.102,410.117
28.235464853,1800.23,5616.34,4165.79,1598.83,955.333,1654.35,1864.05,1709.02,1549.81,1413.87,1996.64,3196.08,2174.54,959.382,335.194,2678.16,678.085,2034.39,3120.05,2863.93,1513.28,1611.58,1435.57,1539.56,1725.78,2051.26,1004.06,635.327,803.474,708.528
29.721541950,2960.6,10729.8,6442.16,2505.07,1335.36,1894.86,2280.01,2359.52,2305.5,1635.03,3059.66,5477.79,2535.91,1116.51,487.726,4452.95,886.287,2736.19,5074.43,5664.46,2672.86,1997.27,1809.64,1699.99,2560.94,2970.84,1514.19,656.6,1174.01,1178.41
31.207619048,4303.16,17433.8,8595,3527.14,1623.12,1875.82,2515.99,2905.52,2746.45,1582.06,3913.58,8695.52,2529.98,1244.31,652.465,6824.88,1073.99,2997.13,7231.16,9472.42,3953.84,2052.85,1941.46,1781.21,3317.14,3703.14,2087.91,563.909,1521.09,1730.83
32.693696145,5548.47,24341.4,10176.1,4314.84,1876.75,1540.51,2514.41,3182.34,2694.98,1327.22,4485.84,12537.6,2194.79,1357.7,804.532,9506.78,1157.83,2786.97,9031.65,13927.8,5024.51,1796.51,1841.51,1792.35,3807.17,4080.52,2581.62,416.636,1754.26,2357.68
34.179773243,6423.24,29794.5,10915.2,4666.41,2104.21,973.538,2353.85,3021.92,2288.49,1068.97,4728,16504.4,1795.18,1400.77,935.468,12097.7,1077.52,2231.33,9966.07,18391.9,5641.44,1432.02,1661.26,1657.08,3891.28,3983.53,2783.09,338.543,1839.75,2955.86
35.665850340,6819.1,33088.3,10906.3,4596.82,2323.15,446.674,2267.68,2470.73,1749.64,855.535,4866.03,19828.8,1592.17,1460.22,1136.23,14189.7,819.229,1562.88,9852.06,21975.2,5873.42,1134.95,1784.68,1432.4,3435.64,3440.7,2558.54,407.049,1971.08,3366.01
37.151927438,7110.13,34453.9,10467.2,4142.21,2599.53,353.247,2482.28,1736.26,1314.56,741.145,5223.65,21952.8,1704.44,1549.04,1372.94,15470.5,504.919,1013.08,9170.69,24060.7,5839.82,956.687,2582.86,1276.17,2492.94,2691.19,2058.01,634.849,2298.6,3577.57
38.638004535,7655.55,34511.3,9863.09,3652.4,2912.21,899.597,3148.59,1128.08,1223.82,785.336,5759.13,22819.9,2041.58,1672.08,1547.67,16057.5,321.076,737.612,8641.96,24588.9,5544.49,987.83,3893.54,1306.83,1503.87,2015.89,1621.09,1011.56,2911.21,3689.58
40.124081633,8444.8,33832.6,9391.19,3668.92,3303.13,1986.66,4165.33,1059.91,1453.9,944.054,6139.97,22659.9,2463,1858.64,1652.64,16162,400.717,770.02,8726.76,23969.5,5079.81,1186.06,5184.3,1513.92,890.234,1752.66,1572.15,1434.79,3725.6,3794.75
41.610158730,9416.88,32585.4,9386.55,4298.29,3737.92,3212.58,5214.22,1699.39,1854.07,1209.67,5939.96,21809.6,2963.02,2032.34,1812.43,16098.2,714.111,981.298,9353.84,23055,4575.67,1518.27,6036.5,1872.62,780.68,1952.27,2077.17,1801.87,4681.68,4052.53
43.096235828,10141.7,30344.1,10137,5144.52,3897.11,3985.5,5784.42,3051.28,2289.02,1603.48,4845.88,20933,3371.3,2069.84,2122.6,15849.1,1198.23,1304.21,9931.9,22728.3,4028.85,1986.95,6147.75,2320.22,1140.72,2227.84,3168.09,2115.51,5512.36,4550.87
44.582312925,10293.9,26288.1,11720.5,5749.51,3674.98,3967.6,5732.43,4778.82,2766.41,2112.27,3259.55,20272.5,3602.56,1942.9,2524.82,15349.7,1771.15,1716.8,9937.98,23132.1,3772.27,2598.07,5426.1,2826.1,1836.88,2342.6,4604.49,2432.21,5885.58,5468.45
46.068390023,9746.44,21189,13669.7,5918.36,3260.83,3403.22,5247.71,6303.03,3174.97,2645.55,2118.93,19696.8,3744.33,1676.82,2764.14,14555.1,2331.77,2136.58,9271.3,23630.2,4306.47,3346.83,4337.2,3234.89,2601.33,2378.76,5993.39,2675.44,5756.46,6797.8
